2,5,10
128944.5722125687,118731.59024032294,116356.8697487811
121300.79922411893,118433.24522838816,114870.7604562518
119789.06646752916,115910.67662264098,118537.50845361062
119692.0626307326,127364.91083099491,114919.6875456775
123266.98673749782,118987.06434372767,118528.24690072416
124846.322971291,123345.1032902631,118040.2754427534
117802.71518338894,122613.10061720686,119186.52165656914
125638.66805136623,120879.02149273017,118857.34803207249
111706.41155910453,120019.8175097293,120498.33280134985
130434.28798320558,125051.95732524524,123331.30856718012
136660.29574834835,118818.72516091785,119982.5164594576
124429.0263274034,121031.52896180027,116299.30353694857
125276.10455868283,119755.75783188138,121859.40161493524
146535.44912444823,122170.11561146402,117126.61451528393
117589.28186974027,118602.67116485978,118853.27459871404
129498.70502885652,120555.83358012335,118069.16738678547
133821.7039597377,119122.98273556505,116097.16695259069
126737.5202853308,116354.03086991774,118682.09488869378
123220.83108825336,120144.54103927604,119591.80459019622
118243.7631204176,116372.2841055445,120545.80813352388
131652.70106943417,117472.75225611818,118216.16140078416
127745.01142289316,120701.26356196385,118687.9222892198
125018.46453265131,130944.14171326724,119438.52822147214
131035.37174343344,124546.39756562082,115491.53844613602
125620.63774166835,119379.8410779368,118196.59415463037
127473.41160789986,122376.000688142,116838.68523798784
135539.56072378607,122098.12273335982,114615.56474265757
120817.85484453033,122829.13200224056,119852.83161107439
135750.9844030079,119574.87191076588,116312.65826662627
124556.79552101536,122214.78307838496,121255.73879040315
